mode,scenario,concurrency,ttft_p50_ms,ttft_p95_ms,itl_avg_ms,e2e_p95_ms,out_tok_s,req_s,meets_slo
dyn-2w-rr,chat,2,55.434853,58.10480114999999,6.073785687047241,1601.24089665,316.31928212319553,1.2484234124250442,True
dyn-2w-rr,chat,4,49.661049999999996,66.88180229999998,6.07695157298405,1602.4073380999998,626.896090906939,2.502423115951107,True
dyn-2w-rr,chat,8,51.731373999999995,62.245393899999996,6.181351571899458,1624.3546465,1233.9699892655387,4.912850968148957,True
dyn-2w-rr,chat,16,87.3823675,186.52270209999998,6.388356681996144,1800.48300545,2334.6514067888866,9.19861421703997,True
dyn-2w-rr,chat,32,180.0858075,323.036448,6.657888893575684,2000.6251807499998,4208.302939425495,16.799350566715944,True
dyn-2w-rr,chat,64,324.71696,598.44209885,7.8994126252526415,2520.0796513,6889.396026425569,27.312201049399082,True
dyn-2w-kv,chat,1,54.724858,57.1708281,6.115185098628229,1600.35908815,155.34072023746654,0.6221405566456732,True
dyn-2w-kv,chat,2,49.639568,81.5408933999999,6.124351506958743,1624.2841648999997,311.92750554746516,1.2452972587510305,True
dyn-2w-kv,chat,4,52.337489999999995,63.93745899999999,6.141429709632222,1622.632646,626.1408975375005,2.472422102813427,True
dyn-2w-kv,chat,8,62.8656425,93.55133994999998,6.201614296353704,1652.0416375999998,1209.020660255169,4.851851157281842,True
dyn-2w-kv,chat,16,87.8076205,186.38280155,6.4224902971967195,1799.9623202999999,2300.5531884570114,9.15244632692539,True
dyn-2w-kv,chat,32,117.9497775,181.01445275,7.156448533589728,2077.73641275,4151.852088364514,16.376348313965696,True
dyn-2w-kv,chat,64,318.72290899999996,590.7654259,7.908731906867555,2515.73905295,6845.613468374555,27.38416538383471,True
vllm-1g,rag,1,226.863766,236.74918405,6.360982847581241,1841.3284535999999,137.49118707114692,0.542572202031903,True
vllm-1g,rag,2,100.057458,135.0228287,6.749468698677123,1788.36858625,282.95935460146114,1.1262764285399287,True
vllm-1g,rag,4,101.131349,148.65703079999997,7.157180820486304,1939.3774477999998,526.7826321003482,2.0803460727151846,True
vllm-1g,rag,8,114.43015849999999,250.25600939999998,8.324878813187958,2345.8937988999996,890.5643209941164,3.5055118115273665,True
vllm-1g,rag,16,390.922753,1552.16366025,15.533026940257201,5390.40151055,894.4425692438207,3.5730806086763947,True
vllm-1g,rag,32,2621.9857549999997,3771.42000475,27.391683961558982,10217.696108,868.5473480337687,3.424164489052819,False
vllm-1g,rag,64,1847.1558464999998,6952.320413549996,59.999635526910424,22217.508657299994,925.1469066413915,3.655126984693441,False
dyn-1w,rag,1,208.74891599999998,211.2824054,6.408406507497898,1830.34262745,137.92279134951977,0.5442754128973527,True
dyn-1w,rag,2,83.5780585,102.32777859999999,6.751070403072399,1765.4649367499999,283.59715430742926,1.1344595209497763,True
dyn-1w,rag,4,109.09492549999999,117.68190605,7.234648490941753,1905.6229559,524.7183200584806,2.0993981297663638,True
dyn-1w,rag,8,137.696684,146.80051365,8.516227542945359,2214.0953589,906.1750075177343,3.618593653281026,True
dyn-1w,rag,16,886.7095119999999,2586.88735685,13.38737873772644,5408.48773255,905.6703392119746,3.619853346421007,False
dyn-1w,rag,32,2062.8853455,3623.79653875,28.97619823613297,10522.726085999999,863.6183202465106,3.423024245728413,False
dyn-1w,rag,64,1790.9672305,6747.675752599999,60.09921850704966,22139.259233499997,928.3969872603303,3.6591016387025164,False
dyn-2w-rr,rag,1,207.723412,213.07486565,6.415370081685226,1829.7476591500001,136.58681631878457,0.5451547392829568,True
dyn-2w-rr,rag,2,209.397146,214.27239444999998,6.415400270026303,1839.17042825,275.3575230982257,1.0864238627881417,True
dyn-2w-rr,rag,4,94.9183535,104.26744989999999,6.609906871841114,1771.67048775,572.333882205127,2.2592591414992986,True
dyn-2w-rr,rag,8,113.16104999999999,132.01928049999995,7.106743689200642,1922.46255645,1058.3435956502474,4.184209916086967,True
dyn-2w-rr,rag,16,235.3652165,1376.8968032,9.41412443428251,4136.16925015,1397.7609896283047,5.511641867854441,True
dyn-2w-rr,rag,32,672.252886,1411.01593475,16.429026142009636,6645.57872325,1646.4080944346226,6.5148848006069,True
dyn-2w-rr,rag,64,571.165927,3600.9234178499996,33.55249069717992,11745.463388749997,1699.3657759065554,6.719091203880954,False
dyn-2w-kv,rag,1,209.40131699999998,213.35532854999997,6.434449250701183,1841.8434663499997,137.39544518119564,0.5409269495322664,True
dyn-2w-kv,rag,2,95.08189,99.66807419999999,6.632984700352985,1773.5380217499999,285.3020347962669,1.1255905700259576,True
dyn-2w-kv,rag,4,80.204846,220.78586604999998,6.960318538997261,2052.2436452,528.5713735501797,2.0939998704556797,True
dyn-2w-kv,rag,8,90.4152915,230.88384514999998,7.7100212177453455,2322.8002414499997,951.4875522831738,3.79149513393457,True
dyn-2w-kv,rag,16,317.20827499999996,1359.1720167,9.77221592512337,3515.2391257999993,1333.0630522637202,5.284853677633605,True
dyn-2w-kv,rag,32,770.2479575,1871.62320075,15.485345920968845,6239.65778825,1686.0711641569576,6.670286169435654,True
dyn-2w-kv,rag,64,1243.7238115,3604.3681368999996,31.992758858635224,11474.877709499999,1711.764549016508,6.763622570759553,False
